PassengerId,Survived,Name,Age,Ticket,Fare,Cabin,FirstName,LastName,Title,SibSp,Siblings,Spouse,Parch,Parents,Children,PassengersCount,FarePerPassenger,ZeroPrice,TravelsAlone,PclassFirst,PclassSecond,PclassThird,SexFemale,SexMale,EmbarkedC,EmbarkedQ,EmbarkedS,TotalRelatives,Alone,DeckA,DeckB,DeckC,DeckD,DeckE,DeckEmpty,DeckF,DeckG,DeckT,OnlyHusband,ManyChildren,TicketMeanEncoded,CabinMeanEncoded,TitleMeanEncoded,SibSpMeanEncoded,SiblingsMeanEncoded,SpouseMeanEncoded,ParchMeanEncoded,ParentsMeanEncoded,ChildrenMeanEncoded,PassengersCountMeanEncoded,FarePerPassengerMeanEncoded,TravelsAloneMeanEncoded,PclassFirstMeanEncoded,PclassSecondMeanEncoded,PclassThirdMeanEncoded,SexFemaleMeanEncoded,SexMaleMeanEncoded,EmbarkedCMeanEncoded,EmbarkedQMeanEncoded,EmbarkedSMeanEncoded,TotalRelativesMeanEncoded,AloneMeanEncoded,OnlyHusbandMeanEncoded,ManyChildrenMeanEncoded,DeckAMeanEncoded,DeckBMeanEncoded,DeckCMeanEncoded,DeckDMeanEncoded,DeckEMeanEncoded,DeckEmptyMeanEncoded,DeckFMeanEncoded,DeckGMeanEncoded,DeckTMeanEncoded
1,0.0,"Braund, Mr. Owen Harris",22.0,A/5 21171,7.25,,Braund,Owen Harris,Mr,1,1,0,0,0,0,1,7.25,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,-1.0,-1.0,0.1654501216545012,0.5459770114942529,0.5882352941176471,0.3722871452420701,0.3550185873605948,0.37152209492635024,0.3875,0.28421052631578947,0.1875,0.5226480836236934,0.3172541743970315,0.38120567375886527,0.26153846153846155,0.2012987012987013,0.2012987012987013,0.3565217391304348,0.39602446483180426,0.3488372093023256,0.5748031496062992,0.5226480836236934,0.3748148148148148,0.40198863636363635,0.39544807965860596,0.3789004457652303,0.38345864661654133,0.38372093023255816,0.38461538461538464,0.3109090909090909,0.3942857142857143,0.3971830985915493,0.39831697054698456
2,1.0,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",38.0,PC 17599,71.2833,C85,Cumings,John Bradley,Mrs,1,0,1,0,0,0,2,35.64165,0,0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,-1.0,-1.0,0.7916666666666666,0.5297619047619048,0.3768844221105528,0.49137931034482757,0.3462246777163904,0.36006546644844517,0.37422360248447206,0.4965986394557823,-1.0,0.4928571428571429,0.611764705882353,0.36042402826855124,0.5474683544303798,0.7449392712550608,0.7449392712550608,0.5271317829457365,0.37962962962962965,0.49222797927461137,0.552,0.4928571428571429,0.8055555555555556,0.3869132290184922,0.381635581061693,0.36538461538461536,0.5454545454545454,0.3717201166180758,0.36749633967789164,0.6441717791411042,0.37980085348506404,0.382228490832158,0.38396624472573837
3,1.0,"Heikkinen, Miss. Laina",26.0,STON/O2. 3101282,7.925,,Heikkinen,Laina,Miss,0,0,0,0,0,0,1,7.925,0,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,-1.0,-1.0,0.6827586206896552,0.3402061855670103,0.3840947546531303,0.34833333333333333,0.34558823529411764,0.3660130718954248,0.3705426356589147,0.25392670157068065,0.4117647058823529,0.2937062937062937,0.2953271028037383,0.36524822695035464,0.23056994818652848,0.74609375,0.74609375,0.3396551724137931,0.38863287250384027,0.33783783783783783,0.2937062937062937,0.2937062937062937,0.3556547619047619,0.38920454545454547,0.3842857142857143,0.35958395245170877,0.367624810892587,0.3717201166180758,0.3719247467438495,0.29357798165137616,0.3840682788051209,0.38591549295774646,0.3862359550561798
4,1.0,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",35.0,113803,53.1,C123,Futrelle,Jacques Heath,Mrs,1,0,1,0,0,0,2,26.55,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,-1.0,-1.0,0.79,0.5459770114942529,0.3898305084745763,0.5350877192982456,0.3550185873605948,0.37152209492635024,0.3875,0.5140845070422535,0.5,0.5226480836236934,0.6494252873563219,0.38120567375886527,0.5634674922600619,0.7609561752988048,0.7609561752988048,0.3565217391304348,0.39602446483180426,0.3488372093023256,0.5748031496062992,0.5226480836236934,0.8157894736842105,0.40198863636363635,0.39544807965860596,0.3789004457652303,0.6041666666666666,0.38372093023255816,0.38461538461538464,0.6932515337423313,0.3942857142857143,0.3971830985915493,0.39831697054698456
5,0.0,"Allen, Mr. William Henry",35.0,373450,8.05,,Allen,William Henry,Mr,0,0,0,0,0,0,1,8.05,0,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,-1.0,-1.0,0.15865384615384615,0.3408624229979466,0.3771043771043771,0.3555926544240401,0.3489208633093525,0.36774193548387096,0.3713405238828968,0.2692307692307692,0.12195121951219512,0.3057471264367816,0.30868761552680224,0.35701598579040855,0.23785166240409208,0.1891304347826087,0.1891304347826087,0.34973637961335674,0.3861538461538462,0.3458498023715415,0.3057471264367816,0.3057471264367816,0.3601190476190476,0.3895184135977337,0.38516405135520687,0.36911764705882355,0.36786786786786785,0.3708029197080292,0.37409024745269287,0.30671506352087113,0.38231098430813126,0.38591549295774646,0.3862359550561798
6,0.0,"Moran, Mr. James",31.43926246460276,330877,8.4583,,Moran,James,Mr,0,0,0,0,0,0,1,8.4583,0,1,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,-1.0,-1.0,0.15513126491646778,0.35051546391752575,0.3768844221105528,0.3624161073825503,0.3462246777163904,0.36006546644844517,0.37422360248447206,0.28720626631853785,-1.0,0.3125,0.3118081180811808,0.36042402826855124,0.25252525252525254,0.1913978494623656,0.1913978494623656,0.3516295025728988,0.421875,0.49222797927461137,0.3125,0.3125,0.3609467455621302,0.3869132290184922,0.381635581061693,0.36538461538461536,0.3727544910179641,0.3717201166180758,0.36749633967789164,0.30601092896174864,0.37980085348506404,0.382228490832158,0.38396624472573837
7,0.0,"McCarthy, Mr. Timothy J",54.0,17463,51.8625,E46,McCarthy,Timothy J,Mr,0,0,0,0,0,0,2,25.93125,0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,-1.0,-1.0,0.1654501216545012,0.3596673596673597,0.3898305084745763,0.3722871452420701,0.3550185873605948,0.37152209492635024,0.3875,0.5140845070422535,1.0,0.3145539906103286,0.6494252873563219,0.38120567375886527,0.5634674922600619,0.2012987012987013,0.2012987012987013,0.3565217391304348,0.39602446483180426,0.3488372093023256,0.3145539906103286,0.3145539906103286,0.3748148148148148,0.40198863636363635,0.39544807965860596,0.3789004457652303,0.38345864661654133,0.38372093023255816,0.7916666666666666,0.6932515337423313,0.3942857142857143,0.3971830985915493,0.39831697054698456
8,0.0,"Palsson, Master. Gosta Leonard",2.0,349909,21.075,,Palsson,Gosta Leonard,Master,3,3,0,1,1,0,5,4.215,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,4,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,-1.0,0.6060606060606061,0.3076923076923077,0.18181818181818182,0.3722871452420701,0.5789473684210527,0.6296296296296297,0.3875,0.4666666666666667,0.0,0.5226480836236934,0.3172541743970315,0.38120567375886527,0.26153846153846155,0.2012987012987013,0.2012987012987013,0.3565217391304348,0.39602446483180426,0.3488372093023256,0.3333333333333333,0.5226480836236934,0.3748148148148148,0.40198863636363635,0.39544807965860596,0.3789004457652303,0.38345864661654133,0.38372093023255816,0.38461538461538464,0.3109090909090909,0.3942857142857143,0.3971830985915493,0.39831697054698456
9,1.0,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",27.0,347742,11.1333,,Johnson,Oscar W,Mrs,0,0,0,2,0,2,3,3.7111,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,1.0,-1.0,0.7916666666666666,0.35051546391752575,0.3768844221105528,0.3624161073825503,0.49206349206349204,0.36006546644844517,0.4117647058823529,0.6103896103896104,1.0,0.4928571428571429,0.3118081180811808,0.36042402826855124,0.25252525252525254,0.7449392712550608,0.7449392712550608,0.3516295025728988,0.37962962962962965,0.34296724470134876,0.5432098765432098,0.4928571428571429,0.3609467455621302,0.3869132290184922,0.381635581061693,0.36538461538461536,0.3727544910179641,0.3717201166180758,0.36749633967789164,0.30601092896174864,0.37980085348506404,0.382228490832158,0.38396624472573837
10,1.0,"Nasser, Mrs. Nicholas (Adele Achem)",14.0,237736,30.0708,,Nasser,Nicholas,Mrs,1,0,1,0,0,0,2,15.0354,0,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0.0,-1.0,0.7692307692307693,0.4840764331210191,0.36394557823129253,0.46464646464646464,0.3272394881170018,0.34262295081967215,0.3553846153846154,0.46153846153846156,0.0,0.4767025089605735,0.292817679558011,0.47183098591549294,0.5416666666666666,0.714859437751004,0.714859437751004,0.5546875,0.3660030627871363,0.4946808510638298,0.5348837209302325,0.4767025089605735,0.84375,0.36984352773826457,0.3655761024182077,0.3456973293768546,0.3532934131736527,0.34934497816593885,0.35276967930029157,0.2820976491862568,0.3617021276595745,0.36530324400564174,0.36657303370786515
